"Data generated on Friday, December 23, 2022 at 12:55:41 PM EST"
Area/Partners of Origin,,,,,January - December
And General  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.105","0702004027","GRHS TM ROUND 7/","0","0","0","0","0","0","7,935","","26","MX","0702004027",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.106","0702004032","GRHS TM NS 7/","0","0","0","0","0","0","10,896","","26","MX","0702004032",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.107","0702004035","CHRY TM7/15-8/31","59","93","399","138","0","0","0","","26","MX","0702004035",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.108","0702004037","TOM ORG7/15-8/31","0","0","0","0","0","0","109","","26","MX","0702004037",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.109","0702004047","GRP TM 7/15-8/31","0","0","0","0","0","0","4,392","","26","MX","0702004047",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.110","0702004066","ROMATM 7/15-8/31","0","0","0","0","0","0","1,513","","26","MX","0702004066",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.111","0702004092","TM NS 7/","0","0","0","0","0","0","196","","26","MX","0702004092",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.112","0702004098","TM, NS 7/15-8/31","87","11","892","0","0","0","0","","26","MX","0702004098",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.113","0703104020","ONIONS FR/CH NES","0","0","0","0","0","0","20,032","","26","MX","0703104020",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.114","0703104040","SHALLOTS FR/CH","0","0","0","0","0","0","1,034","","26","MX","0703104040",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.115","0703900020","GR ONION EX  CEP","0","0","0","0","0","0","335","","26","MX","0703900020",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.116","0703900040","LEEKS & OT A VEG","0","0","0","0","0","0","2,882","","26","MX","0703900040",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.117","0704904015","BOK CHOY NESOI","0","0","0","0","0","0","7","","26","MX","0704904015",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.118","0704904035","KALE NESOI","0","0","0","0","0","0","3,027","","26","MX","0704904035",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.119","0704904050","KOHLRABI NESOI","0","0","0","0","0","0","2,386","","26","MX","0704904050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.120","0705210000","WTLF CHCRY FR/CH","190","77","0","25","0","0","0","","26","MX","0705210000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.121","0707005020","GR CUCMBR ORG 12","0","0","0","0","0","0","1,404","","26","MX","0707005020",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.122","0707005040","GR CUCM N ORG 12","0","0","0","0","0","0","7,003","","26","MX","0707005040",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.123","0707005070","GR CUCMBR ORG 5","0","0","0","0","0","0","1,691","","26","MX","0707005070",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.124","0707005080","GR CUCM N ORG 5","0","0","0","0","0","0","25,219","","26","MX","0707005080",
