"Data generated on Friday, December 23, 2022 at 1:07:23 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.3","0705190050","LETTUCE X HD FR","0","0","4,970","12,160","10,858","10,051","9,839","-2","26","MX","0705190050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.4","0709700050","SPINACH FR/CH","470","467","2,529","5,283","6,936","6,772","3,724","-45","26","MX","0709700050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.5","0704904030","BROCCOLI FR/CH","0","0","98","3,135","5,946","5,758","1,481","-74","26","MX","0704904030",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.6","0704100050","CAULFLOWER FR/CH","3","43","829","2,149","4,314","3,286","5,087","55","26","MX","0704100050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.7","0709999500","VEG,NESOI,FR/CH","0","21","342","1,948","4,157","3,867","3,351","-13","26","MX","0709999500",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.8","0706103050","CARROTS FR/CH","0","0","1,027","3,001","3,781","2,938","2,984","2","26","MX","0706103050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.9","0705110050","HD LETTUCE FR/CH","0","68","1,867","1,970","2,739","2,379","2,411","1","26","MX","0705110050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.10","0704200000","BRSSL SPRTS,F/CH","0","0","90","752","2,649","1,233","1,683","36","26","MX","0704200000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.11","0704902050","CABBAGE, FR/CH","32","56","803","1,510","2,406","2,013","3,111","55","26","MX","0704902050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.12","0704904040","KOHLRABI FR/CH","5","0","963","1,613","2,031","1,877","1,659","-12","26","MX","0704904040",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.13","0702000015","ORG CHERRY TOMAT","172","37","20","211","1,038","1,038","249","-76","26","MX","0702000015",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.14","0709400010","ORG CELERY FR/CH","0","0","46","99","846","482","141","-71","26","MX","0709400010",
